French,Spanish,English,FrCommon
abaisser,bajar,to lower,Common
abandonner,abandonar,to abandon,Very Common
s'abandonner,abandonarse,to surrender oneself,Common
abasourdir,aturdir,to stun,Less Common
abâtardir,bastardear,to bastardize,Rare
abattre,abatir,"to slaughter, bring down",Common
s'abattre,abatirse,to fall down,Very Common
abdiquer,abdicar,to abdicate,Less Common
abêtir,estupidizar,to dumb down,Rare
abhorrer,aborrecer,to abhor,Rare
abîmer,dañar,to damage,Common
s'abîmer,dañarse,"to sink, founder",Common
abjurer,abjurar,to renounce,Rare
abolir,abolir,to abolish,Less Common
abonder,abundar,to abound,Less Common
abonner,suscribir,to subscribe,Common
aborder,abordar,"to approach, to reach",Very Common
aboucher,embocar,to mouth,Rare
aboutir,llegar,"to succeed, to end up",Common
aboyer,ladrar,to bark,Less Common
abraser,abrasar,to abrade,Rare
abréger,abreviar,to abbreviate,Common
abreuver,abrevar,to water,Less Common
s'abreuver,abrevarse,"to drink, quench thirst",Less Common 
abriter,abrigar,to shelter,Common
s'abriter,refugiarse,"to take shelter, hide",Common
abroger,derogar,to repeal,Less Common
abrutir,atontar,"to stupefy, daze",Common
abrutir,brutalizar,to brutalize,Rare
absenter,ausentarse,to be absent,Less Common
absorber,absorber,to absorb,Common
abstenir,abstenerse,to abstain,Less Common
abstraire,abstraer,to abstract,Rare
abuser,abusar,to abuse,Common
s'abuser,engañarse,to be mistaken,Less Common
accabler,agobiar,to overwhelm,Less Common
accaparer,acaparar,"to monopolize, hog",Less Common
accéder,acceder,"to access, reach, attain",Very Common 
accélérer,acelerar,"to quicken, speed up",Very Common
accepter,aceptar,to accept,Very Common
acclamer,aclamar,"to acclaim, to cheer",Less Common
accompagner,acompañar,to accompany,Very Common
accomplir,cumplir,to accomplish,Very Common
accorder,acordar,"to accept, admit, grant",Very Common
s'accorder,ponerse de acuerdo,"to agree, get along, harmonize",Very Common 
accoster,acorralar,to accost,Less Common
accoter,apoyar,"to lean, prop up",Less Common
accoucher,dar a luz,to give birth,Common
accourir,acudir,to rush to/come irgently,Less Common
accoutumer,acostumbrar,to accustom,Less Common
accréditer,acreditar,to accredit,Less Common
accrocher,colgar,to hang,Common
accroire,creer,to believe,Rare
accroupir,agacharse,to squat,Less Common
accueillir,acoger,to welcome,Very Common
accumuler,acumular,to accumulate,Common
accuser,acusar,"to accuse, blame, emphasize, show",Very Common
s'accuser,autoinculparse,to fess up/admit guilt,Common
acheminer,encaminar,to route,Less Common
acheter,comprar,to buy,Very Common
achever,terminar,to finish,Common
s'achever,terminarse,to end,Common
acquérir,adquirir,to acquire,Common
acquitter,pagar,to pay off,Common
acter,actuar,to make a legal act,Less Common
actioner,accionar,to activate / to operate ,Common
activer,activar,to activate,Common
actualiser,actualizar,"to update, refresh",Common
adapter,adaptar,to adapt,Common
additionner,sumar,to add,Less Common
adhérer,adherir,"to join, to stick, adhere",Very Common
adjoindre,añadir / ajuntar,"to add, appoint, attach",Common
admettre,admitir,to admit,Very Common
administrer,administrar,"to administer, to manage",Very Common
admirer,admirar,to admire,Very Common
admonester,amonestar,to admonish / to reprimand,Less Common
adorer,adorar,to adore,Very Common
